,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,58,pounds,False,Nonstop,easyJet,10:55AM,11:55AM,Innsbruck,London,2024/01/19,2024-01-15
1,68,pounds,False,Nonstop,easyJet,12:30PM,1:30PM,Innsbruck,London,2024/01/19,2024-01-15
2,85,pounds,False,Nonstop,easyJet,3:25PM,4:25PM,Innsbruck,London,2024/01/19,2024-01-15
3,128,pounds,True,Nonstop,British Airways. Operated by Finnair for British Airways,8:50PM,9:55PM,Innsbruck,London,2024/01/19,2024-01-15
4,81,pounds,False,Nonstop,easyJet,9:20PM,10:25PM,Innsbruck,London,2024/01/19,2024-01-15
5,93,pounds,False,1,Vueling,9:20PM,8:25AM,Innsbruck,London,2024/01/19,2024-01-15
6,93,pounds,False,1,Vueling,9:20PM,9:05AM,Innsbruck,London,2024/01/19,2024-01-15
7,93,pounds,False,1,Vueling,9:20PM,12:25PM,Innsbruck,London,2024/01/19,2024-01-15
8,112,pounds,False,1,Vueling,10:10AM,10:00PM,Innsbruck,London,2024/01/19,2024-01-15
9,117,pounds,False,1,Eurowings. Operated by Eurowings Europe,8:15AM,12:00PM,Innsbruck,London,2024/01/19,2024-01-15
10,117,pounds,False,1,Eurowings. Operated by Eurowings Europe,8:50AM,3:10PM,Innsbruck,London,2024/01/19,2024-01-15
11,117,pounds,False,1,Eurowings,9:10AM,1:10PM,Innsbruck,London,2024/01/19,2024-01-15
12,119,pounds,False,1,easyJet and Wizz Air,6:10PM,8:10AM,Innsbruck,London,2024/01/19,2024-01-15
13,120,pounds,False,1,Vueling and British Airways,9:20PM,9:50AM,Innsbruck,London,2024/01/19,2024-01-15
14,130,pounds,True,1,"Turkish Airlines. Operated by 6Y for Anadolujet Trademark of TK, 6Y for Anadolujet Trademark of TK",1:45PM,3:20PM,Innsbruck,London,2024/01/19,2024-01-15
15,131,pounds,False,1,Vueling,10:10AM,8:55PM,Innsbruck,London,2024/01/19,2024-01-15
16,134,pounds,False,1,Eurowings,8:15AM,3:00PM,Innsbruck,London,2024/01/19,2024-01-15
17,146,pounds,False,1,Vueling,10:10AM,7:15PM,Innsbruck,London,2024/01/19,2024-01-15
18,164,pounds,True,1,"Turkish Airlines. Operated by 6Y for Anadolujet Trademark of TK, Anadolujet Trademark of Turkish Airlines",1:45PM,11:45AM,Innsbruck,London,2024/01/19,2024-01-15
19,173,pounds,True,Nonstop,British Airways,12:55PM,2:00PM,Innsbruck,London,2024/01/19,2024-01-15
20,179,pounds,True,1,Air Europa. Operated by Air Europa Express,7:05PM,9:00AM,Innsbruck,London,2024/01/19,2024-01-15
21,188,pounds,True,1,ITA,6:35PM,4:00PM,Innsbruck,London,2024/01/19,2024-01-15
22,197,pounds,False,1,Vueling and British Airways,10:10AM,3:40PM,Innsbruck,London,2024/01/19,2024-01-15
23,201,pounds,True,1,Air Europa,10:45AM,9:00AM,Innsbruck,London,2024/01/19,2024-01-15
24,202,pounds,False,1,easyJet and British Airways,4:35PM,8:25PM,Innsbruck,London,2024/01/19,2024-01-15
25,69,pounds,False,Nonstop,easyJet,5:55PM,8:45PM,London,Innsbruck,2024/01/19,2024-01-15
26,126,pounds,True,Nonstop,British Airways,8:55AM,11:55AM,London,Innsbruck,2024/01/19,2024-01-15
27,149,pounds,False,Nonstop,easyJet,7:15AM,10:10AM,London,Innsbruck,2024/01/19,2024-01-15
28,162,pounds,True,Nonstop,Lufthansa. Operated by Lufthansa CityLine,8:45AM,11:35AM,London,Innsbruck,2024/01/19,2024-01-15
29,182,pounds,False,Nonstop,easyJet,11:45AM,2:40PM,London,Innsbruck,2024/01/19,2024-01-15
30,84,pounds,False,1,Wizz Air and easyJet,10:00AM,5:35PM,London,Innsbruck,2024/01/19,2024-01-15
31,103,pounds,False,1,Vueling,9:45PM,9:20AM,London,Innsbruck,2024/01/19,2024-01-15
32,109,pounds,True,1,Aegean,12:15PM,5:25PM,London,Innsbruck,2024/01/19,2024-01-15
33,115,pounds,False,1,Vueling,8:05PM,9:20AM,London,Innsbruck,2024/01/19,2024-01-15
34,115,pounds,False,1,"Scandinavian Airlines. Operated by Sas Connect, Sas Connect",9:55AM,7:45PM,London,Innsbruck,2024/01/19,2024-01-15
35,120,pounds,False,1,Vueling,6:50AM,8:30PM,London,Innsbruck,2024/01/19,2024-01-15
36,120,pounds,False,1,Vueling,12:50PM,8:30PM,London,Innsbruck,2024/01/19,2024-01-15
37,129,pounds,True,1,ITA,4:55PM,10:00AM,London,Innsbruck,2024/01/19,2024-01-15
